ID	Project	Region_People	Time	Group
SH18F131	CMP_Region	Henan	2018	China
SH18F132	CMP_Region	Henan	2018	China
SH18F133	CMP_Region	Henan	2018	China
SH18F134	CMP_Region	Henan	2018	China
SH18F135	CMP_Region	Henan	2018	China
SH18F136	CMP_Region	Henan	2018	China
SH18F138	CMP_Region	Henan	2018	China
SH18F139	CMP_Region	Henan	2018	China
SH18F14	CMP_Region	Henan	2018	China
SH18F140	CMP_Region	Henan	2018	China
SH18F15	CMP_Region	Henan	2018	China
SH18F17	CMP_Region	Henan	2018	China
SH18F18	CMP_Region	Henan	2018	China
SH18F19	CMP_Region	Henan	2018	China
SH18F20	CMP_Region	Henan	2018	China
SH18F21	CMP_Region	Henan	2018	China
SH18F22	CMP_Region	Henan	2018	China
SH18F23	CMP_Region	Henan	2018	China
SH18F25	CMP_Region	Henan	2018	China
SH18F27	CMP_Region	Henan	2018	China
SH18F29	CMP_Region	Henan	2018	China
SH18F31	CMP_Region	Henan	2018	China
SH18F32	CMP_Region	Henan	2018	China
SH18F33	CMP_Region	Henan	2018	China
SH18F34	CMP_Region	Henan	2018	China
SH18F41	CMP_Region	Henan	2018	China
SH18F42	CMP_Region	Henan	2018	China
SH18F43	CMP_Region	Henan	2018	China
SH18F47	CMP_Region	Henan	2018	China
SH18F48	CMP_Region	Henan	2018	China
SH18F58	CMP_Region	Henan	2018	China
SH18F59	CMP_Region	Henan	2018	China
SH18F60	CMP_Region	Henan	2018	China
SH18F61	CMP_Region	Henan	2018	China
SH18F62	CMP_Region	Henan	2018	China
SH18F63	CMP_Region	Henan	2018	China
SH18F72	CMP_Region	Henan	2018	China
SI01	CMP_Region	Beijing	2016	China
SI03	CMP_Region	Beijing	2016	China
SI04	CMP_Region	Beijing	2016	China
SI07	CMP_Region	Beijing	2016	China
SK03	CMP_Region	Beijing	2016	China
SK04	CMP_Region	Beijing	2016	China
SK05	CMP_Region	Beijing	2016	China
SK06	CMP_Region	Beijing	2016	China
SK07	CMP_Region	Beijing	2016	China
SK08	CMP_Region	Beijing	2016	China
SK09	CMP_Region	Beijing	2016	China
SK11	CMP_Region	Beijing	2016	China
SK12	CMP_Region	Beijing	2016	China
SM01-2	CMP_Region	Beijing	2016	China
SM06	CMP_Region	Beijing	2016	China
SM09	CMP_Region	Beijing	2016	China
SM11	CMP_Region	Beijing	2016	China
SN07-2	CMP_Region	Beijing	2016	China
SN11-2	CMP_Region	Beijing	2016	China
AF002	ProjectA	Beijing	2023_04	ProjectA
AF004	ProjectA	Beijing	2023_04	ProjectA
AF005	ProjectA	Beijing	2023_04	ProjectA
AF006	ProjectA	Beijing	2023_04	ProjectA
AF007	ProjectA	Beijing	2023_04	ProjectA
AF008	ProjectA	Beijing	2023_04	ProjectA
AF009	ProjectA	Beijing	2023_04	ProjectA
AF010	ProjectA	Beijing	2023_04	ProjectA
AF011	ProjectA	Beijing	2023_04	ProjectA
AF012	ProjectA	Beijing	2023_04	ProjectA
AF013	ProjectA	Beijing	2023_04	ProjectA
AF014	ProjectA	Beijing	2023_04	ProjectA
AF015	ProjectA	Beijing	2023_04	ProjectA
AF016	ProjectA	Beijing	2023_04	ProjectA
AF017	ProjectA	Beijing	2023_04	ProjectA
AF018	ProjectA	Beijing	2023_04	ProjectA
